"Unique ID","Q2 - Did you switch careers into Data?","Q4 - What Industry do you work in?",Satisfaction_Salary,Satisfaction_WorkLife,Satisfaction_Coworkers,Satisfaction_Management,Satisfaction_Upward,Satisfaction_Learning,"Q7 - How difficult was it for you to break into Data?",Q8_Most_Important_Thing,"Q9 - Male/Female?","Q10 - Current Age","Q11 - Which Country do you live in?","Q12 - Highest Level of Education",Current_Role,min_salary,max_salary,avg_salary,Favorite_Language,Clean_Date,Clean_Ethnicity,Age,Age_Brackets
62a33ce918134ddc75ce8c30,Yes,"Logistics & Warehousing",10.0,10.0,8.0,8.0,8.0,10.0,"Neither easy nor difficult","Remote Work",Male,37,Canada,"Not Specified","Data Analyst",66000,85000,75500,Python,2022-06-10,"White / Caucasian",37,36-40
62a33cf30a77c1a77f65baa2,Yes,"Gaming / iGaming",3.0,8.0,10.0,10.0,7.0,8.0,"Neither easy nor difficult","Better Salary",Male,32,Serbia,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"White / Caucasian",32,31-35
62a33d15f408bae018ed370d,Yes,"Tech / IT",1.0,10.0,9.0,9.0,5.0,10.0,"Neither easy nor difficult","Better Salary",Male,34,Argentina,"Not Specified","Data Analyst",0,40000,20000,R,2022-06-10,"Hispanic / Latino",34,31-35
62a33d1ebae91e4b8b82e707,Yes,Education,3.0,10.0,10.0,6.0,7.0,8.0,Easy,"Good Work/Life Balance",Male,30,"United Kingdom","Not Specified","Data Scientist",0,40000,20000,Python,2022-06-10,"White / Caucasian",30,26-30
62a33d4624a26260273824c4,No,Construction,4.0,5.0,5.0,5.0,4.0,5.0,"Neither easy nor difficult","Good Culture",Male,31,"United States","Not Specified","Data Analyst",41000,65000,53000,R,2022-06-10,"White / Caucasian",31,31-35
62a33d5c0f8c8599d5af107c,Yes,"Finance / Banking",4.0,10.0,7.0,7.0,7.0,5.0,Difficult,"Good Culture",Male,29,"United States","Not Specified","Data Analyst",41000,65000,53000,Python,2022-06-10,"White / Caucasian",29,26-30
62a33d850f8c8599d5af10cb,Yes,"Tech / IT",1.0,2.0,4.0,2.0,2.0,2.0,"Neither easy nor difficult","Better Salary",Male,22,Niger,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Black / African",22,21-25
62a33d9bf8f7561645852496,Yes,"Retail / E-Commerce",1.0,3.0,2.0,2.0,4.0,1.0,Difficult,"Better Salary",Male,23,"United States","Not Specified","Student / Job Seeker",0,40000,20000,Python,2022-06-10,"Black / African",23,21-25
62a33dbdd8c00e9f5419cd65,No,"Tech / IT",7.0,8.0,8.0,6.0,8.0,3.0,"Very Difficult","Better Salary",Female,26,Canada,"Not Specified","Student / Job Seeker",41000,65000,53000,R,2022-06-10,"Asian / Asian American",26,26-30
62a33de124a26260273826b2,No,"Aviation & Transportation",1.0,1.0,1.0,1.0,2.0,0.0,"Very Difficult","Better Salary",Male,28,Nigeria,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Black / African",28,26-30
62a33dedd8c00e9f5419ce2b,Yes,"Finance / Banking",5.0,5.0,5.0,5.0,5.0,5.0,Easy,"Remote Work",Male,29,Kenya,"Not Specified","Data Analyst",41000,65000,53000,Python,2022-06-10,"Black / African",29,26-30
62a33dfbd8c00e9f5419ceda,Yes,"Tech / IT",10.0,5.0,10.0,6.0,10.0,10.0,"Neither easy nor difficult","Remote Work",Female,31,"United States","Not Specified","Data Analyst",106000,125000,115500,SQL,2022-06-10,"White / Caucasian",31,31-35
62a33e38f3072dd8926221d3,Yes,Healthcare,5.0,6.0,8.0,8.0,7.0,1.0,"Neither easy nor difficult","Remote Work",Male,28,Azerbaijan,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"White / Caucasian",28,26-30
62a33e54d8c00e9f5419cfe9,No,"Finance / Banking",4.0,4.0,4.0,4.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Male,32,Argentina,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Hispanic / Latino",32,31-35
62a33e62575fa3a5ae88aabf,No,"Tech / IT",7.0,8.0,8.0,8.0,3.0,8.0,Easy,"Better Salary",Male,24,Sudan,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Black / African",24,21-25
62a33e63cec54911e9ca4f99,No,"Tech / IT",4.0,6.0,6.0,6.0,7.0,7.0,Easy,"Good Work/Life Balance",Male,31,India,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Asian / Asian American",31,31-35
62a33e72bae91e4b8b82ea1a,No,Insurance,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Other,Male,23,"United States","Not Specified","Data Analyst",66000,85000,75500,SQL,2022-06-10,"White / Caucasian",23,21-25
62a33e890f8c8599d5af13b9,Yes,"Energy / Oil & Gas",1.0,6.0,9.0,1.0,0.0,2.0,Difficult,"Remote Work",Female,33,"United States","Not Specified","Data Analyst",106000,125000,115500,Python,2022-06-10,"Asian / Asian American",33,31-35
62a33e8bf8d5efcc22f7c79a,No,Healthcare,6.0,7.0,7.0,7.0,7.0,4.0,"Very Easy","Better Salary",Male,43,"United States","Not Specified","Data Analyst",86000,105000,95500,R,2022-06-10,"White / Caucasian",43,41-50
62a33e90cec54911e9ca5031,Yes,"Energy / Oil & Gas",0.0,0.0,5.0,0.0,0.0,0.0,"Very Difficult","Remote Work",Female,23,Nigeria,"Not Specified","Student / Job Seeker",0,40000,20000,R,2022-06-10,"Black / African",23,21-25
62a33e9df8f756164585277b,Yes,"Finance / Banking",10.0,7.0,10.0,10.0,5.0,3.0,"Very Difficult","Good Work/Life Balance",Male,31,"United States","Not Specified","Student / Job Seeker",41000,65000,53000,Python,2022-06-10,"Black / African",31,31-35
62a33eb6bc6861bf3176c5a3,Yes,"Finance / Banking",5.0,6.0,7.0,5.0,4.0,4.0,"Neither easy nor difficult",Other,Male,31,"United Kingdom","Not Specified","Data Analyst",66000,85000,75500,Python,2022-06-10,"White / Caucasian",31,31-35
62a33ee0bae91e4b8b82eaec,Yes,"Not Specified",8.0,7.0,8.0,7.0,7.0,7.0,Difficult,"Good Work/Life Balance",Male,25,India,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Asian / Asian American",25,21-25
62a33ee80f8c8599d5af14b7,No,"Tech / IT",8.0,10.0,10.0,9.0,9.0,9.0,Easy,"Better Salary",Male,43,"United States","Not Specified","Data Engineer",125000,150000,137500,SQL,2022-06-10,"White / Caucasian",43,41-50
62a33efe0a77c1a77f65bf1e,No,"Finance / Banking",2.0,3.0,5.0,5.0,5.0,5.0,Difficult,"Better Salary",Female,26,Canada,"Not Specified","Data Analyst",41000,65000,53000,Python,2022-06-10,"Asian / Asian American",26,26-30
62a33f0ef408bae018ed3aeb,No,Automotive,5.0,10.0,8.0,8.0,8.0,7.0,"Neither easy nor difficult","Remote Work",Male,32,Japan,"Not Specified",Other,41000,65000,53000,Python,2022-06-10,"White / Caucasian",32,31-35
62a33f17f8f7561645852867,No,"Tech / IT",2.0,9.0,7.0,7.0,5.0,6.0,Difficult,"Better Salary",Male,31,Greece,"Not Specified",Other,0,40000,20000,Python,2022-06-10,"White / Caucasian",31,31-35
62a33f52bc6861bf3176c72c,Yes,Healthcare,3.0,5.0,6.0,4.0,4.0,5.0,"Neither easy nor difficult","Better Salary",Male,29,"United States","Not Specified","Data Analyst",86000,105000,95500,SQL,2022-06-10,"White / Caucasian",29,26-30
62a33f56cf255543173005e9,Yes,Automotive,3.0,1.0,3.0,2.0,3.0,1.0,"Neither easy nor difficult","Good Culture",Male,24,Per̼,"Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Hispanic / Latino",24,21-25
62a33f5a5d257a28a30d7bb5,Yes,Construction,2.0,0.0,2.0,2.0,0.0,0.0,"Very Difficult","Remote Work",Male,34,"United States","Not Specified","Student / Job Seeker",41000,65000,53000,Python,2022-06-10,"White / Caucasian",34,31-35
62a33fa5cec54911e9ca51f1,Yes,"Energy & Utilities",5.0,6.0,6.0,5.0,4.0,6.0,"Very Difficult","Better Salary",Male,42,Australia,"Not Specified","Data Analyst",41000,65000,53000,R,2022-06-10,"Asian / Asian American",42,41-50
62a33fcb575fa3a5ae88ad59,Yes,"Student / Unemployed",0.0,0.0,0.0,0.0,0.0,0.0,Difficult,"Remote Work",Female,40,"United States","Not Specified","Student / Job Seeker",0,40000,20000,R,2022-06-10,"Asian / Asian American",40,36-40
62a33fcf18134ddc75ce91c3,No,"Retail / E-Commerce",3.0,1.0,3.0,4.0,0.0,3.0,Easy,"Good Work/Life Balance",Male,43,Spain,"Not Specified","Student / Job Seeker",41000,65000,53000,Python,2022-06-10,"White / Caucasian",43,41-50
62a34006d8c00e9f5419d341,Yes,Construction,0.0,0.0,0.0,0.0,0.0,0.0,"Very Difficult","Better Salary",Male,23,Kenya,"Not Specified","Student / Job Seeker",0,40000,20000,Python,2022-06-10,"Black / African",23,21-25
62a34020575fa3a5ae88ade0,Yes,Education,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,"Better Salary",Male,23,Japan,"Not Specified","Student / Job Seeker",0,40000,20000,Python,2022-06-10,"Asian / Asian American",23,21-25
62a34038b4da29969c62eafe,Yes,Manufacturing,8.0,6.0,2.0,3.0,6.0,7.0,"Neither easy nor difficult",Other,Male,28,"United States","Not Specified","Data Analyst",86000,105000,95500,Python,2022-06-10,"White / Caucasian",28,26-30
62a3406b575fa3a5ae88ae78,No,"Finance / Banking",5.0,7.0,1.0,1.0,0.0,8.0,"Neither easy nor difficult","Better Salary",Male,32,"United States","Not Specified","Data Analyst",66000,85000,75500,SQL,2022-06-10,"White / Caucasian",32,31-35
62a340cab4da29969c62ec01,Yes,Manufacturing,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,"Remote Work",Female,41,"United States","Not Specified","Data Analyst",66000,85000,75500,R,2022-06-10,"White / Caucasian",41,41-50
62a340d62e54c9003e5324b4,Yes,"Finance / Banking",5.0,6.0,6.0,6.0,6.0,6.0,"Neither easy nor difficult","Remote Work",Male,33,"United Kingdom","High School","Data Analyst",41000,65000,53000,Python,2022-06-10,"White / Caucasian",33,31-35
62a340e10a77c1a77f65c2e7,Yes,"Tech / IT",10.0,8.0,9.0,8.0,8.0,10.0,Easy,"Good Work/Life Balance",Male,38,"United States","Not Specified",Other,150000,225000,187500,Python,2022-06-10,"Hispanic / Latino",38,36-40
62a340f5bc6861bf3176caa4,No,"Tech / IT",8.0,8.0,8.0,8.0,5.0,10.0,Easy,"Better Salary",Female,22,India,"Not Specified","Data Analyst",0,40000,20000,SQL,2022-06-10,"Asian / Asian American",22,21-25
62a34117cec54911e9ca54e7,Yes,"Energy / Oil & Gas",1.0,3.0,6.0,6.0,6.0,9.0,Difficult,"Remote Work",Male,36,Barbados,Bachelors,"Student / Job Seeker",0,40000,20000,R,2022-06-10,"Black / African",36,36-40
62a3413a5d257a28a30d8074,No,"Finance / Banking",2.0,1.0,1.0,1.0,3.0,7.0,Easy,"Remote Work",Female,28,"United States",Masters,"Data Engineer",66000,85000,75500,Python,2022-06-10,"Asian / Asian American",28,26-30
62a341a1f3072dd8926229a5,Yes,Education,,,,,,7.0,"Very Easy","Growth & Learning",Male,30,"South Africa","Not Specified","Student / Job Seeker",0,40000,20000,Python,2022-06-10,"Black / African",30,26-30
62a341b0f8f7561645852d1d,Yes,"Tech / IT",6.0,6.0,6.0,6.0,5.0,6.0,Difficult,Other,Female,24,"United States",Bachelors,"Data Analyst",66000,85000,75500,Python,2022-06-10,"Hispanic / Latino",24,21-25
62a341e8f8d5efcc22f7d002,No,"Logistics & Warehousing",3.0,6.0,7.0,7.0,0.0,3.0,"Very Difficult","Better Salary",Male,29,"United States",Bachelors,"Data Analyst",41000,65000,53000,"C / C++",2022-06-10,"White / Caucasian",29,26-30
62a34210cf25554317300c02,No,"Tech / IT",4.0,9.0,10.0,9.0,9.0,10.0,Easy,"Better Salary",Male,29,Colombia,Associates,"Data Analyst",0,40000,20000,Python,2022-06-10,"Hispanic / Latino",29,26-30
62a3424eb4da29969c62eedd,Yes,Automotive,6.0,8.0,8.0,7.0,9.0,7.0,"Neither easy nor difficult","Good Work/Life Balance",Male,38,Germany,Masters,"Data Analyst",41000,65000,53000,Python,2022-06-10,"White / Caucasian",38,36-40
62a34256bae91e4b8b82f16d,Yes,"Finance / Banking",3.0,5.0,4.0,3.0,3.0,3.0,Difficult,"Good Work/Life Balance",Male,31,Bulgaria,Masters,"Data Analyst",0,40000,20000,R,2022-06-10,"White / Caucasian",31,31-35
62a3426cf408bae018ed409b,No,"Tech / IT",1.0,4.0,5.0,5.0,1.0,1.0,Difficult,"Better Salary",Male,25,"United States",Masters,"Student / Job Seeker",0,40000,20000,Python,2022-06-10,"White / Caucasian",25,21-25
62a34272f8d5efcc22f7d15f,No,"Retail / E-Commerce",4.0,6.0,4.0,5.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Male,24,"United States",Masters,"Data Analyst",66000,85000,75500,Python,2022-06-10,"White / Caucasian",24,21-25
62a34340bc6861bf3176d05b,Yes,"Tech / IT",6.0,7.0,4.0,3.0,9.0,8.0,Difficult,"Better Salary",Male,28,Turkey,Bachelors,Other,41000,65000,53000,Python,2022-06-10,"White / Caucasian",28,26-30
62a34383b4da29969c62f1be,No,"Tech / IT",7.0,5.0,8.0,0.0,0.0,0.0,"Neither easy nor difficult","Good Culture",Female,23,India,Bachelors,"Student / Job Seeker",0,40000,20000,Python,2022-06-10,"Asian / Asian American",23,21-25
62a34389cec54911e9ca5a22,No,"Tech / IT",2.0,3.0,2.0,5.0,5.0,7.0,"Neither easy nor difficult","Remote Work",Male,21,Spain,Masters,"Data Engineer",0,40000,20000,R,2022-06-10,"Hispanic / Latino",21,21-25
62a343a22e54c9003e532a2a,No,"Energy / Oil & Gas",4.0,4.0,4.0,4.0,5.0,6.0,"Neither easy nor difficult","Remote Work",Male,29,France,Bachelors,"Data Analyst",0,40000,20000,Python,2022-06-10,Other,29,26-30
62a343d9f3072dd892622fe4,Yes,"Tech / IT",5.0,6.0,7.0,7.0,7.0,6.0,Difficult,"Better Salary",Male,25,"United States",Bachelors,"Data Analyst",41000,65000,53000,Python,2022-06-10,"Asian / Asian American",25,21-25
62a34400d8c00e9f5419dc2b,No,"Tech / IT",6.0,6.0,6.0,6.0,3.0,5.0,Difficult,"Good Culture",Male,27,Germany,Masters,"Data Analyst",41000,65000,53000,Python,2022-06-10,"Black / African",27,26-30
62a34425f8d5efcc22f7d525,Yes,"Tech / IT",3.0,9.0,10.0,8.0,9.0,9.0,Easy,"Better Salary",Male,23,India,Bachelors,"Data Analyst",41000,65000,53000,Python,2022-06-10,"Asian / Asian American",23,21-25
62a34449575fa3a5ae88b637,No,"Food & Beverage",4.0,3.0,3.0,5.0,5.0,5.0,Difficult,"Better Salary",Male,32,"United States",Masters,Other,86000,105000,95500,R,2022-06-10,"Asian / Asian American",32,31-35
62a3445dcf255543173011e1,Yes,Healthcare,5.0,5.0,7.0,5.0,7.0,7.0,"Neither easy nor difficult","Remote Work",Male,22,India,Bachelors,"Student / Job Seeker",106000,125000,115500,Python,2022-06-10,"Asian / Asian American",22,21-25
62a3447a575fa3a5ae88b6c0,No,"Tech / IT",2.0,9.0,9.0,8.0,6.0,2.0,Easy,"Better Salary",Male,25,Thailand,Bachelors,"Data Analyst",0,40000,20000,Python,2022-06-10,"Asian / Asian American",25,21-25
62a3449f7dc029e2d66bf5d1,Yes,"Retail / E-Commerce",2.0,8.0,6.0,6.0,5.0,5.0,"Neither easy nor difficult","Remote Work",Female,36,Germany,Masters,"Data Analyst",0,40000,20000,Python,2022-06-10,"White / Caucasian",36,36-40
62a344c5f408bae018ed4806,Yes,"Tech / IT",10.0,6.0,9.0,5.0,8.0,7.0,Easy,"Good Work/Life Balance",Female,27,"United States",Bachelors,"Data Analyst",106000,125000,115500,SQL,2022-06-10,"White / Caucasian",27,26-30
62a344c6f8d5efcc22f7d6e1,Yes,"Tech / IT",5.0,5.0,5.0,5.0,5.0,1.0,"Neither easy nor difficult",Other,Male,23,India,Bachelors,"Data Analyst",0,40000,20000,Python,2022-06-10,"Asian / Asian American",23,21-25
62a344e1f3072dd892623328,Yes,"Tech / IT",2.0,3.0,3.0,3.0,3.0,6.0,"Very Difficult","Better Salary",Male,26,Netherlands,Bachelors,"Student / Job Seeker",0,40000,20000,SQL,2022-06-10,"Black / African",26,26-30
62a3450424a262602738357f,No,Healthcare,9.0,10.0,10.0,10.0,10.0,10.0,"Very Easy","Good Work/Life Balance",Female,33,"United States",PhD,Other,86000,105000,95500,Python,2022-06-10,"Hispanic / Latino",33,31-35
62a3452818134ddc75ce9e1b,Yes,Automotive,3.0,5.0,3.0,3.0,5.0,5.0,Easy,"Better Salary",Male,27,Turkey,Masters,"Data Analyst",106000,125000,115500,Python,2022-06-10,"White / Caucasian",27,26-30
62a345490a77c1a77f65cc5b,Yes,Education,3.0,6.0,5.0,4.0,3.0,4.0,"Neither easy nor difficult","Better Salary",Male,42,"United States",Associates,"Data Analyst",41000,65000,53000,R,2022-06-10,"White / Caucasian",42,41-50
62a3455bbc6861bf3176d57a,Yes,"Tech / IT",6.0,7.0,8.0,7.0,7.0,8.0,Easy,"Good Work/Life Balance",Male,29,Spain,Masters,"Data Analyst",0,40000,20000,Python,2022-06-10,"White / Caucasian",29,26-30
62a3457bf8d5efcc22f7da17,No,"Tech / IT",4.0,7.0,6.0,4.0,2.0,4.0,Easy,"Better Salary",Female,27,"United States",Masters,"Data Analyst",125000,150000,137500,Python,2022-06-10,"Asian / Asian American",27,26-30
62a345b2bae91e4b8b82fad6,No,Healthcare,0.0,10.0,10.0,10.0,4.0,2.0,"Neither easy nor difficult","Remote Work",Female,39,"United States",Bachelors,"Student / Job Seeker",41000,65000,53000,Python,2022-06-10,"Hispanic / Latino",39,36-40
62a345c47dc029e2d66bf80a,Yes,"Retail / E-Commerce",6.0,6.0,7.0,5.0,6.0,7.0,Difficult,"Good Culture",Male,31,Denmark,Masters,"Data Analyst",41000,65000,53000,Python,2022-06-10,"White / Caucasian",31,31-35
62a345e25d257a28a30d8b43,Yes,Marketing,7.0,7.0,5.0,9.0,7.0,8.0,Easy,"Good Work/Life Balance",Male,29,Brazil,Bachelors,"Data Analyst",66000,85000,75500,Python,2022-06-10,"Hispanic / Latino",29,26-30
62a34646f8d5efcc22f7dc5c,Yes,Education,7.0,7.0,7.0,7.0,4.0,7.0,Easy,"Remote Work",Male,31,"United States",Masters,"Data Analyst",66000,85000,75500,R,2022-06-10,"White / Caucasian",31,31-35
62a34687f408bae018ed4c52,Yes,"Finance / Banking",10.0,9.0,9.0,10.0,9.0,10.0,"Neither easy nor difficult","Good Culture",Male,30,Mexico,Masters,"Data Analyst",0,40000,20000,Python,2022-06-10,"Hispanic / Latino",30,26-30
62a346a37dc029e2d66bfa6d,Yes,"Tech / IT",7.0,8.0,6.0,5.0,5.0,9.0,Difficult,"Better Salary",Male,33,Mexico,Masters,"Data Engineer",0,40000,20000,Python,2022-06-10,"Hispanic / Latino",33,31-35
62a346a95d257a28a30d8cb9,No,"Retail / E-Commerce",7.0,8.0,9.0,7.0,7.0,7.0,"Neither easy nor difficult","Better Salary",Male,25,"United States",Bachelors,"Data Analyst",66000,85000,75500,Python,2022-06-10,"White / Caucasian",25,21-25
62a346b4bc6861bf3176d7ce,No,"Tech / IT",0.0,0.0,0.0,0.0,0.0,0.0,"Neither easy nor difficult","Good Work/Life Balance",Male,23,India,Bachelors,"Student / Job Seeker",0,40000,20000,R,2022-06-10,"Asian / Asian American",23,21-25
62a346cef8f756164585385b,Yes,Advertising,4.0,4.0,3.0,3.0,5.0,6.0,"Very Difficult","Better Salary",Male,33,"United States",Bachelors,"Data Analyst",41000,65000,53000,R,2022-06-10,"Asian / Asian American",33,31-35
62a346d724a2626027383abd,Yes,"Logistics & Warehousing",7.0,9.0,9.0,8.0,8.0,9.0,"Neither easy nor difficult","Good Work/Life Balance",Male,35,Chile,Bachelors,"Data Analyst",66000,85000,75500,Python,2022-06-10,"Hispanic / Latino",35,31-35
62a346d90a77c1a77f65d08d,No,"Professional Services & HR",6.0,8.0,5.0,,6.0,9.0,"Neither easy nor difficult","Remote Work",Female,42,Greece,Masters,"Data Analyst",41000,65000,53000,Python,2022-06-10,"White / Caucasian",42,41-50
62a34726f8d5efcc22f7dec7,No,"Tech / IT",3.0,4.0,2.0,1.0,0.0,4.0,"Neither easy nor difficult","Better Salary",Male,25,"United States",Bachelors,"Data Analyst",66000,85000,75500,Python,2022-06-10,"White / Caucasian",25,21-25
62a3476c5d257a28a30d8e6d,No,Automotive,5.0,4.0,5.0,4.0,3.0,6.0,"Neither easy nor difficult",Other,Male,23,"United States",Bachelors,"Data Analyst",86000,105000,95500,Python,2022-06-10,"White / Caucasian",23,21-25
62a347b4f8f7561645853a98,No,Healthcare,2.0,4.0,6.0,5.0,3.0,4.0,Easy,"Better Salary",Female,51,"United States",Bachelors,Other,41000,65000,53000,R,2022-06-10,"Black / African",51,50+
62a347f6b4da29969c62fb79,No,"Retail / E-Commerce",1.0,4.0,4.0,3.0,2.0,6.0,"Very Difficult","Better Salary",Male,30,"United Kingdom",Bachelors,"Data Analyst",0,40000,20000,R,2022-06-10,"Black / African",30,26-30
62a3483018134ddc75cea4e6,Yes,"Finance / Banking",8.0,9.0,9.0,9.0,9.0,8.0,"Very Difficult","Better Salary",Male,23,India,Bachelors,"Data Analyst",41000,65000,53000,Python,2022-06-10,"Asian / Asian American",23,21-25
62a348650f8c8599d5af2b77,Yes,Advertising,3.0,5.0,5.0,6.0,3.0,4.0,"Neither easy nor difficult","Better Salary",Male,24,Canada,Bachelors,Other,41000,65000,53000,R,2022-06-10,"Asian / Asian American",24,21-25
62a3489318134ddc75cea659,Yes,"Tech / IT",6.0,6.0,6.0,6.0,6.0,6.0,Easy,"Good Culture",Male,25,Australia,Masters,"Student / Job Seeker",41000,65000,53000,Python,2022-06-10,"Asian / Asian American",25,21-25
62a348bf2e54c9003e533634,Yes,"Finance / Banking",4.0,4.0,6.0,4.0,5.0,6.0,Difficult,"Better Salary",Female,55,"United States",Masters,"Data Analyst",41000,65000,53000,Python,2022-06-10,Other,55,50+
62a348c2f3072dd892623c10,No,"Tech / IT",8.0,10.0,8.0,7.0,8.0,10.0,"Very Easy","Remote Work",Female,30,"United States",Masters,"Data Analyst",86000,105000,95500,R,2022-06-10,"White / Caucasian",30,26-30
62a348f2f8d5efcc22f7e2ba,Yes,Consulting,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,"Better Salary",Male,25,Canada,Bachelors,"Data Analyst",41000,65000,53000,Python,2022-06-10,"Asian / Asian American",25,21-25
62a349160a77c1a77f65d4db,Yes,Construction,6.0,9.0,7.0,6.0,7.0,7.0,"Neither easy nor difficult","Better Salary",Male,28,"United States",Masters,"Data Analyst",66000,85000,75500,Python,2022-06-10,"White / Caucasian",28,26-30
62a3493fb4da29969c62fe63,Yes,Consulting,8.0,8.0,9.0,9.0,10.0,10.0,"Very Easy","Better Salary",Male,34,"United Kingdom",Bachelors,Other,41000,65000,53000,Python,2022-06-10,"White / Caucasian",34,31-35
62a3496e575fa3a5ae88c4e6,Yes,"Tech / IT",8.0,10.0,9.0,9.0,10.0,8.0,"Neither easy nor difficult","Better Salary",Female,28,"Costa Rica",Bachelors,"Data Analyst",0,40000,20000,Python,2022-06-10,"Hispanic / Latino",28,26-30
62a3498e575fa3a5ae88c554,No,Manufacturing,7.0,9.0,7.0,8.0,8.0,10.0,"Neither easy nor difficult","Better Salary",Male,24,Vietnam,Bachelors,"Student / Job Seeker",0,40000,20000,R,2022-06-10,"Asian / Asian American",24,21-25
62a34991b4da29969c62ff4b,Yes,Healthcare,3.0,7.0,7.0,7.0,1.0,2.0,Difficult,"Better Salary",Male,31,"United States",Masters,"Student / Job Seeker",0,40000,20000,Python,2022-06-10,"Black / African",31,31-35
62a349bbf8f756164585400d,Yes,"Logistics & Warehousing",3.0,6.0,6.0,6.0,4.0,4.0,Easy,"Better Salary",Male,25,Canada,Bachelors,"Data Analyst",41000,65000,53000,SQL,2022-06-10,"Asian / Asian American",25,21-25
62a349c7cec54911e9ca67c7,Yes,"Finance / Banking",5.0,1.0,4.0,3.0,3.0,4.0,Easy,"Better Salary",Female,38,"United States",Bachelors,"Data Analyst",106000,125000,115500,Python,2022-06-10,"White / Caucasian",38,36-40
62a349d5d8c00e9f5419ead2,No,"Finance / Banking",5.0,5.0,5.0,5.0,4.0,5.0,"Neither easy nor difficult","Good Culture",Male,30,Netherlands,Bachelors,"Data Analyst",41000,65000,53000,Python,2022-06-10,"Hispanic / Latino",30,26-30
