"Unique ID","Q2 - Did you switch careers into Data?",Satisfaction_Salary,Satisfaction_WorkLife,Satisfaction_Coworkers,Satisfaction_Management,Satisfaction_Upward,Satisfaction_Learning,"Q7 - How difficult was it for you to break into Data?",Q8_Most_Important_Thing,"Q9 - Male/Female?","Q11 - Which Country do you live in?","Q12 - Highest Level of Education","Q4 - What Industry do you work in?",Current_Role,min_salary,max_salary,avg_salary,Favorite_Language,Clean_Date,Age,"Q10 - Current Age",Age_Brackets,Clean_Ethnicity
62a33e54d8c00e9f5419cfe9,No,4.0,4.0,4.0,4.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Male,Argentina,"Not Specified","Finance / Banking","Data Analyst",0,40000,20000.0000,Python,2022-06-10,32,32,31-35,"Hispanic / Latino"
62a33e62575fa3a5ae88aabf,No,7.0,8.0,8.0,8.0,3.0,8.0,Easy,"Better Salary",Male,Sudan,"Not Specified","Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,24,24,21-25,"Black / African"
62a33e63cec54911e9ca4f99,No,4.0,6.0,6.0,6.0,7.0,7.0,Easy,"Good Work/Life Balance",Male,India,"Not Specified","Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,31,31,31-35,"Asian / Asian American"
62a33e72bae91e4b8b82ea1a,No,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Other,Male,"United States","Not Specified",Insurance,"Data Analyst",66000,85000,75500.0000,SQL,2022-06-10,23,23,21-25,"White / Caucasian"
62a33e890f8c8599d5af13b9,Yes,1.0,6.0,9.0,1.0,0.0,2.0,Difficult,"Remote Work",Female,"United States","Not Specified","Energy & Utilities","Data Analyst",106000,125000,115500.0000,Python,2022-06-10,33,33,31-35,"Asian / Asian American"
62a33e8bf8d5efcc22f7c79a,No,6.0,7.0,7.0,7.0,7.0,4.0,"Very Easy","Better Salary",Male,"United States","Not Specified",Healthcare,"Data Analyst",86000,105000,95500.0000,Other,2022-06-10,43,43,41-50,"White / Caucasian"
62a33e90cec54911e9ca5031,Yes,0.0,0.0,5.0,0.0,0.0,0.0,"Very Difficult","Remote Work",Female,Nigeria,"Not Specified","Energy & Utilities","Student / Job Seeker",0,40000,20000.0000,R,2022-06-10,23,23,21-25,"Black / African"
62a33e9df8f756164585277b,Yes,10.0,7.0,10.0,10.0,5.0,3.0,"Very Difficult","Good Work/Life Balance",Male,"United States","Not Specified","Finance / Banking","Student / Job Seeker",41000,65000,53000.0000,Python,2022-06-10,31,31,31-35,"Black / African"
62a33eb6bc6861bf3176c5a3,Yes,5.0,6.0,7.0,5.0,4.0,4.0,"Neither easy nor difficult",Other,Male,"United Kingdom","Not Specified","Finance / Banking","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,31,31,31-35,"White / Caucasian"
62a33ee0bae91e4b8b82eaec,Yes,8.0,7.0,8.0,7.0,7.0,7.0,Difficult,"Good Work/Life Balance",Male,India,"Not Specified","Not Specified","Data Analyst",0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a33ee80f8c8599d5af14b7,No,8.0,10.0,10.0,9.0,9.0,9.0,Easy,"Better Salary",Male,"United States","Not Specified","Tech / IT","Data Engineer",125000,150000,137500.0000,SQL,2022-06-10,43,43,41-50,"White / Caucasian"
62a33efe0a77c1a77f65bf1e,No,2.0,3.0,5.0,5.0,5.0,5.0,Difficult,"Better Salary",Female,Canada,"Not Specified","Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,26,26,26-30,"Asian / Asian American"
62a33f0ef408bae018ed3aeb,No,5.0,10.0,8.0,8.0,8.0,7.0,"Neither easy nor difficult","Remote Work",Male,Japan,"Not Specified",Automotive,Other,41000,65000,53000.0000,Python,2022-06-10,32,32,31-35,"White / Caucasian"
62a33f17f8f7561645852867,No,2.0,9.0,7.0,7.0,5.0,6.0,Difficult,"Better Salary",Male,Greece,"Not Specified","Tech / IT",Other,0,40000,20000.0000,Python,2022-06-10,31,31,31-35,"White / Caucasian"
62a33f52bc6861bf3176c72c,Yes,3.0,5.0,6.0,4.0,4.0,5.0,"Neither easy nor difficult","Better Salary",Male,"United States","Not Specified",Healthcare,"Data Analyst",86000,105000,95500.0000,SQL,2022-06-10,29,29,26-30,"White / Caucasian"
62a33f56cf255543173005e9,Yes,3.0,1.0,3.0,2.0,3.0,1.0,"Neither easy nor difficult","Good Culture",Male,Per̼,"Not Specified",Automotive,"Data Analyst",0,40000,20000.0000,Python,2022-06-10,24,24,21-25,"Hispanic / Latino"
62a33f5a5d257a28a30d7bb5,Yes,2.0,0.0,2.0,2.0,0.0,0.0,"Very Difficult","Remote Work",Male,"United States","Not Specified",Construction,"Student / Job Seeker",41000,65000,53000.0000,Python,2022-06-10,34,34,31-35,"White / Caucasian"
62a33fa5cec54911e9ca51f1,Yes,5.0,6.0,6.0,5.0,4.0,6.0,"Very Difficult","Better Salary",Male,Australia,"Not Specified",Utilities,"Data Analyst",41000,65000,53000.0000,Other,2022-06-10,42,42,41-50,"Asian / Asian American"
62a33fcb575fa3a5ae88ad59,Yes,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,"Remote Work",Female,"United States","Not Specified","Student / Unemployed","Student / Job Seeker",0,40000,20000.0000,JavaScript,2022-06-10,40,40,36-40,"Asian / Asian American"
62a33fcf18134ddc75ce91c3,No,3.0,1.0,3.0,4.0,0.0,3.0,Easy,"Good Work/Life Balance",Male,Spain,"Not Specified","Retail / E-Commerce","Student / Job Seeker",41000,65000,53000.0000,Python,2022-06-10,43,43,41-50,"White / Caucasian"
62a34006d8c00e9f5419d341,Yes,0.0,0.0,0.0,0.0,0.0,0.0,"Very Difficult","Better Salary",Male,Kenya,"Not Specified",Construction,"Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Black / African"
62a34020575fa3a5ae88ade0,Yes,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,"Better Salary",Male,Japan,"Not Specified",Education,"Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Asian / Asian American"
62a34038b4da29969c62eafe,Yes,8.0,6.0,2.0,3.0,6.0,7.0,"Neither easy nor difficult",Other,Male,"United States","Not Specified",Manufacturing,"Data Analyst",86000,105000,95500.0000,Python,2022-06-10,28,28,26-30,"White / Caucasian"
62a3406b575fa3a5ae88ae78,No,5.0,7.0,1.0,1.0,0.0,8.0,"Neither easy nor difficult","Better Salary",Male,"United States","Not Specified","Finance / Banking","Data Analyst",66000,85000,75500.0000,SQL,2022-06-10,32,32,31-35,"White / Caucasian"
62a340cab4da29969c62ec01,Yes,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,"Remote Work",Female,"United States","Not Specified",Manufacturing,"Data Analyst",66000,85000,75500.0000,R,2022-06-10,41,41,41-50,"White / Caucasian"
62a340d62e54c9003e5324b4,Yes,5.0,6.0,6.0,6.0,6.0,6.0,"Neither easy nor difficult","Remote Work",Male,"United Kingdom","High School","Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,33,33,31-35,"White / Caucasian"
62a340e10a77c1a77f65c2e7,Yes,10.0,8.0,9.0,8.0,8.0,10.0,Easy,"Good Work/Life Balance",Male,"United States","Not Specified","Tech / IT",Other,150000,225000,187500.0000,Python,2022-06-10,38,38,36-40,"Hispanic / Latino"
62a340f5bc6861bf3176caa4,No,8.0,8.0,8.0,8.0,5.0,10.0,Easy,"Better Salary",Female,India,"Not Specified","Tech / IT","Data Analyst",0,40000,20000.0000,SQL,2022-06-10,22,22,21-25,"Asian / Asian American"
62a34117cec54911e9ca54e7,Yes,1.0,3.0,6.0,6.0,6.0,9.0,Difficult,"Remote Work",Male,Barbados,Bachelors,"Energy & Utilities","Student / Job Seeker",0,40000,20000.0000,R,2022-06-10,36,36,36-40,"Black / African"
62a3413a5d257a28a30d8074,No,2.0,1.0,1.0,1.0,3.0,7.0,Easy,"Remote Work",Female,"United States",Masters,"Finance / Banking","Data Engineer",66000,85000,75500.0000,Python,2022-06-10,28,28,26-30,"Asian / Asian American"
62a341a1f3072dd8926229a5,Yes,,,,,,7.0,"Very Easy","Growth & Learning",Male,"South Africa","Not Specified",Education,"Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,30,30,26-30,"Black / African"
62a341b0f8f7561645852d1d,Yes,6.0,6.0,6.0,6.0,5.0,6.0,Difficult,Other,Female,"United States",Bachelors,"Tech / IT","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,24,24,21-25,"Hispanic / Latino"
62a341e8f8d5efcc22f7d002,No,3.0,6.0,7.0,7.0,0.0,3.0,"Very Difficult","Better Salary",Male,"United States",Bachelors,"Logistics & Warehousing","Data Analyst",41000,65000,53000.0000,"C / C++",2022-06-10,29,29,26-30,"White / Caucasian"
62a34210cf25554317300c02,No,4.0,9.0,10.0,9.0,9.0,10.0,Easy,"Better Salary",Male,Colombia,Associates,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,29,29,26-30,"Hispanic / Latino"
62a3424eb4da29969c62eedd,Yes,6.0,8.0,8.0,7.0,9.0,7.0,"Neither easy nor difficult","Good Work/Life Balance",Male,Germany,Masters,Automotive,"Data Analyst",41000,65000,53000.0000,Python,2022-06-10,38,38,36-40,"White / Caucasian"
62a34256bae91e4b8b82f16d,Yes,3.0,5.0,4.0,3.0,3.0,3.0,Difficult,"Good Work/Life Balance",Male,Bulgaria,Masters,"Finance / Banking","Data Analyst",0,40000,20000.0000,Other,2022-06-10,31,31,31-35,"White / Caucasian"
62a3426cf408bae018ed409b,No,1.0,4.0,5.0,5.0,1.0,1.0,Difficult,"Better Salary",Male,"United States",Masters,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"White / Caucasian"
62a34272f8d5efcc22f7d15f,No,4.0,6.0,4.0,5.0,4.0,4.0,"Neither easy nor difficult","Better Salary",Male,"United States",Masters,"Retail / E-Commerce","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,24,24,21-25,"White / Caucasian"
62a34340bc6861bf3176d05b,Yes,6.0,7.0,4.0,3.0,9.0,8.0,Difficult,"Better Salary",Male,Turkey,Bachelors,"Tech / IT",Other,41000,65000,53000.0000,Python,2022-06-10,28,28,26-30,"White / Caucasian"
62a34383b4da29969c62f1be,No,7.0,5.0,8.0,0.0,0.0,0.0,"Neither easy nor difficult","Good Culture",Female,India,Bachelors,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Asian / Asian American"
62a34389cec54911e9ca5a22,No,2.0,3.0,2.0,5.0,5.0,7.0,"Neither easy nor difficult","Remote Work",Male,Spain,Masters,"Tech / IT","Data Engineer",0,40000,20000.0000,R,2022-06-10,21,21,21-25,"Hispanic / Latino"
62a343a22e54c9003e532a2a,No,4.0,4.0,4.0,4.0,5.0,6.0,"Neither easy nor difficult","Remote Work",Male,France,Bachelors,"Energy & Utilities","Data Analyst",0,40000,20000.0000,Python,2022-06-10,29,29,26-30,Other
62a343d9f3072dd892622fe4,Yes,5.0,6.0,7.0,7.0,7.0,6.0,Difficult,"Better Salary",Male,"United States",Bachelors,"Tech / IT","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a34400d8c00e9f5419dc2b,No,6.0,6.0,6.0,6.0,3.0,5.0,Difficult,"Good Culture",Male,Germany,Masters,"Tech / IT","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,27,27,26-30,"Black / African"
62a34425f8d5efcc22f7d525,Yes,3.0,9.0,10.0,8.0,9.0,9.0,Easy,"Better Salary",Male,India,Bachelors,"Tech / IT","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,23,23,21-25,"Asian / Asian American"
62a34449575fa3a5ae88b637,No,4.0,3.0,3.0,5.0,5.0,5.0,Difficult,"Better Salary",Male,"United States",Masters,"Food & Beverage",Other,86000,105000,95500.0000,R,2022-06-10,32,32,31-35,"Asian / Asian American"
62a3445dcf255543173011e1,Yes,5.0,5.0,7.0,5.0,7.0,7.0,"Neither easy nor difficult","Remote Work",Male,India,Bachelors,Healthcare,"Student / Job Seeker",106000,125000,115500.0000,Python,2022-06-10,22,22,21-25,"Asian / Asian American"
62a3447a575fa3a5ae88b6c0,No,2.0,9.0,9.0,8.0,6.0,2.0,Easy,"Better Salary",Male,Thailand,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a3449f7dc029e2d66bf5d1,Yes,2.0,8.0,6.0,6.0,5.0,5.0,"Neither easy nor difficult","Remote Work",Female,Germany,Masters,"Retail / E-Commerce","Data Analyst",0,40000,20000.0000,Python,2022-06-10,36,36,36-40,"White / Caucasian"
62a344c5f408bae018ed4806,Yes,10.0,6.0,9.0,5.0,8.0,7.0,Easy,"Good Work/Life Balance",Female,"United States",Bachelors,"Tech / IT","Data Analyst",106000,125000,115500.0000,SQL,2022-06-10,27,27,26-30,"White / Caucasian"
62a344c6f8d5efcc22f7d6e1,Yes,5.0,5.0,5.0,5.0,5.0,1.0,"Neither easy nor difficult",Other,Male,India,Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Asian / Asian American"
62a344e1f3072dd892623328,Yes,2.0,3.0,3.0,3.0,3.0,6.0,"Very Difficult","Better Salary",Male,Netherlands,Bachelors,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,SQL,2022-06-10,26,26,26-30,"Black / African"
62a3450424a262602738357f,No,9.0,10.0,10.0,10.0,10.0,10.0,"Very Easy","Good Work/Life Balance",Female,"United States",PhD,Healthcare,Other,86000,105000,95500.0000,Python,2022-06-10,33,33,31-35,"Hispanic / Latino"
62a3452818134ddc75ce9e1b,Yes,3.0,5.0,3.0,3.0,5.0,5.0,Easy,"Better Salary",Male,Turkey,Masters,Automotive,"Data Analyst",106000,125000,115500.0000,Python,2022-06-10,27,27,26-30,"White / Caucasian"
62a345490a77c1a77f65cc5b,Yes,3.0,6.0,5.0,4.0,3.0,4.0,"Neither easy nor difficult","Better Salary",Male,"United States",Associates,Education,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,42,42,41-50,"White / Caucasian"
62a3455bbc6861bf3176d57a,Yes,6.0,7.0,8.0,7.0,7.0,8.0,Easy,"Good Work/Life Balance",Male,Spain,Masters,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,29,29,26-30,"White / Caucasian"
62a3457bf8d5efcc22f7da17,No,4.0,7.0,6.0,4.0,2.0,4.0,Easy,"Better Salary",Female,"United States",Masters,"Tech / IT","Data Analyst",125000,150000,137500.0000,Python,2022-06-10,27,27,26-30,"Asian / Asian American"
62a345b2bae91e4b8b82fad6,No,0.0,10.0,10.0,10.0,4.0,2.0,"Neither easy nor difficult","Remote Work",Female,"United States",Bachelors,Healthcare,"Student / Job Seeker",41000,65000,53000.0000,Python,2022-06-10,39,39,36-40,"Hispanic / Latino"
62a345c47dc029e2d66bf80a,Yes,6.0,6.0,7.0,5.0,6.0,7.0,Difficult,"Good Culture",Male,Denmark,Masters,"Retail / E-Commerce","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,31,31,31-35,"White / Caucasian"
62a345e25d257a28a30d8b43,Yes,7.0,7.0,5.0,9.0,7.0,8.0,Easy,"Good Work/Life Balance",Male,Brazil,Bachelors,Marketing,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,29,29,26-30,"Hispanic / Latino"
62a34646f8d5efcc22f7dc5c,Yes,7.0,7.0,7.0,7.0,4.0,7.0,Easy,"Remote Work",Male,"United States",Masters,Education,"Data Analyst",66000,85000,75500.0000,R,2022-06-10,31,31,31-35,"White / Caucasian"
62a34687f408bae018ed4c52,Yes,10.0,9.0,9.0,10.0,9.0,10.0,"Neither easy nor difficult","Good Culture",Male,Mexico,Masters,"Finance / Banking","Data Analyst",0,40000,20000.0000,Python,2022-06-10,30,30,26-30,"Hispanic / Latino"
62a346a37dc029e2d66bfa6d,Yes,7.0,8.0,6.0,5.0,5.0,9.0,Difficult,"Better Salary",Male,Mexico,Masters,"Tech / IT","Data Engineer",0,40000,20000.0000,Python,2022-06-10,33,33,31-35,"Hispanic / Latino"
62a346a95d257a28a30d8cb9,No,7.0,8.0,9.0,7.0,7.0,7.0,"Neither easy nor difficult","Better Salary",Male,"United States",Bachelors,"Retail / E-Commerce","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,25,25,21-25,"White / Caucasian"
62a346b4bc6861bf3176d7ce,No,0.0,0.0,0.0,0.0,0.0,0.0,"Neither easy nor difficult","Good Work/Life Balance",Male,India,Bachelors,"Tech / IT","Student / Job Seeker",0,40000,20000.0000,R,2022-06-10,23,23,21-25,"Asian / Asian American"
62a346cef8f756164585385b,Yes,4.0,4.0,3.0,3.0,5.0,6.0,"Very Difficult","Better Salary",Male,"United States",Bachelors,Advertising,"Data Analyst",41000,65000,53000.0000,Other,2022-06-10,33,33,31-35,"Asian / Asian American"
62a346d724a2626027383abd,Yes,7.0,9.0,9.0,8.0,8.0,9.0,"Neither easy nor difficult","Good Work/Life Balance",Male,Chile,Bachelors,"Logistics & Warehousing","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,35,35,31-35,"Hispanic / Latino"
62a346d90a77c1a77f65d08d,No,6.0,8.0,5.0,,6.0,9.0,"Neither easy nor difficult","Remote Work",Female,Greece,Masters,"Professional Services & HR","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,42,42,41-50,"White / Caucasian"
62a34726f8d5efcc22f7dec7,No,3.0,4.0,2.0,1.0,0.0,4.0,"Neither easy nor difficult","Better Salary",Male,"United States",Bachelors,"Tech / IT","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,25,25,21-25,"White / Caucasian"
62a3476c5d257a28a30d8e6d,No,5.0,4.0,5.0,4.0,3.0,6.0,"Neither easy nor difficult",Other,Male,"United States",Bachelors,Automotive,"Data Analyst",86000,105000,95500.0000,Python,2022-06-10,23,23,21-25,"White / Caucasian"
62a347b4f8f7561645853a98,No,2.0,4.0,6.0,5.0,3.0,4.0,Easy,"Better Salary",Female,"United States",Bachelors,Healthcare,Other,41000,65000,53000.0000,JavaScript,2022-06-10,51,51,50+,"Black / African"
62a347f6b4da29969c62fb79,No,1.0,4.0,4.0,3.0,2.0,6.0,"Very Difficult","Better Salary",Male,"United Kingdom",Bachelors,"Retail / E-Commerce","Data Analyst",0,40000,20000.0000,Other,2022-06-10,30,30,26-30,"Black / African"
62a3483018134ddc75cea4e6,Yes,8.0,9.0,9.0,9.0,9.0,8.0,"Very Difficult","Better Salary",Male,India,Bachelors,"Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,23,23,21-25,"Asian / Asian American"
62a348650f8c8599d5af2b77,Yes,3.0,5.0,5.0,6.0,3.0,4.0,"Neither easy nor difficult","Better Salary",Male,Canada,Bachelors,Advertising,Other,41000,65000,53000.0000,R,2022-06-10,24,24,21-25,"Asian / Asian American"
62a3489318134ddc75cea659,Yes,6.0,6.0,6.0,6.0,6.0,6.0,Easy,"Good Culture",Male,Australia,Masters,"Tech / IT","Student / Job Seeker",41000,65000,53000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a348bf2e54c9003e533634,Yes,4.0,4.0,6.0,4.0,5.0,6.0,Difficult,"Better Salary",Female,"United States",Masters,"Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,55,55,50+,Other
62a348c2f3072dd892623c10,No,8.0,10.0,8.0,7.0,8.0,10.0,"Very Easy","Remote Work",Female,"United States",Masters,"Tech / IT","Data Analyst",86000,105000,95500.0000,R,2022-06-10,30,30,26-30,"White / Caucasian"
62a348f2f8d5efcc22f7e2ba,Yes,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,"Better Salary",Male,Canada,Bachelors,Consulting,"Data Analyst",41000,65000,53000.0000,Python,2022-06-10,25,25,21-25,"Asian / Asian American"
62a349160a77c1a77f65d4db,Yes,6.0,9.0,7.0,6.0,7.0,7.0,"Neither easy nor difficult","Better Salary",Male,"United States",Masters,Construction,"Data Analyst",66000,85000,75500.0000,Python,2022-06-10,28,28,26-30,"White / Caucasian"
62a3493fb4da29969c62fe63,Yes,8.0,8.0,9.0,9.0,10.0,10.0,"Very Easy","Better Salary",Male,"United Kingdom",Bachelors,Consulting,Other,41000,65000,53000.0000,Python,2022-06-10,34,34,31-35,"White / Caucasian"
62a3496e575fa3a5ae88c4e6,Yes,8.0,10.0,9.0,9.0,10.0,8.0,"Neither easy nor difficult","Better Salary",Female,"Costa Rica",Bachelors,"Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,28,28,26-30,"Hispanic / Latino"
62a3498e575fa3a5ae88c554,No,7.0,9.0,7.0,8.0,8.0,10.0,"Neither easy nor difficult","Better Salary",Male,Vietnam,Bachelors,Manufacturing,"Student / Job Seeker",0,40000,20000.0000,Other,2022-06-10,24,24,21-25,"Asian / Asian American"
62a34991b4da29969c62ff4b,Yes,3.0,7.0,7.0,7.0,1.0,2.0,Difficult,"Better Salary",Male,"United States",Masters,Healthcare,"Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,31,31,31-35,"Black / African"
